tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
725,6/1/2013 8:30,6/1/2013 8:42,2022,E 60 St & York Ave,40.759107,-73.959223,392,Jay St & Tech Pl,40.695065,-73.987167,16100,Subscriber,1973,1
1087,6/1/2013 8:31,6/1/2013 8:49,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,18744,Customer,NULL,0
586,6/1/2013 8:32,6/1/2013 8:42,382,University Pl & E 14 St,40.73492695,-73.99200509,297,E 15 St & 3 Ave,40.734232,-73.986923,15652,Subscriber,1980,1
896,6/1/2013 8:32,6/1/2013 8:47,346,Bank St & Hudson St,40.73652889,-74.00618026,525,W 34 St & 11 Ave,40.75594159,-74.0021163,16346,Subscriber,1962,1
593,6/1/2013 8:32,6/1/2013 8:42,428,E 3 St & 1 Ave,40.72467721,-73.98783413,253,W 13 St & 5 Ave,40.73543934,-73.99453948,19782,Subscriber,1958,2
261,6/1/2013 8:32,6/1/2013 8:37,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,345,W 13 St & 6 Ave,40.73649403,-73.99704374,17086,Subscriber,1979,1
236,6/1/2013 8:32,6/1/2013 8:36,314,Cadman Plaza West & Montague St,40.69383,-73.990539,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,17828,Subscriber,1964,1
1405,6/1/2013 8:32,6/1/2013 8:56,408,Market St & Cherry St,40.71076228,-73.99400398,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,17651,Customer,NULL,0
751,6/1/2013 8:32,6/1/2013 8:45,507,E 25 St & 2 Ave,40.73912601,-73.97973776,290,2 Ave & E 58 St,40.76020258,-73.96478473,17748,Subscriber,1976,1
268,6/1/2013 8:33,6/1/2013 8:37,128,MacDougal St & Prince St,40.72710258,-74.00297088,NULL,NULL,NULL,NULL,15760,Subscriber,1984,2
251,6/1/2013 8:33,6/1/2013 8:37,466,W 25 St & 6 Ave,40.74395411,-73.99144871,492,W 33 St & 7 Ave,40.75019995,-73.99093085,16657,Subscriber,1983,1
663,6/1/2013 8:33,6/1/2013 8:44,72,W 52 St & 11 Ave,40.76727216,-73.99392888,468,Broadway & W 56 St,40.7652654,-73.98192338,15334,Subscriber,1986,2
